Слово,Семантическая роль,Полная семантическая разметка
черно-белую,атрибут,der:comp;r:rel;t:physq:color
девушки,агенс,t:hum;r:concr;der:s
девушки,аудитория,t:hum;r:concr;der:s
ковбоев,агенс,t:hum;r:concr;t:prof
ковбоев,аудитория,t:hum;r:concr;t:prof
людей,агенс,t:hum;r:concr
людей,аудитория,t:hum;r:concr
студентов,агенс,t:hum;r:concr
студентов,аудитория,t:hum;r:concr
красными,атрибут,t:physq:color;r:qual
милиционеры,агенс,t:hum;r:concr;der:s;t:prof
милиционеры,аудитория,t:hum;r:concr;der:s;t:prof
сотрудников,агенс,der:v;t:hum;r:concr;d:nag
сотрудников,аудитория,der:v;t:hum;r:concr;d:nag
человеке,агенс,t:hum;r:concr
человеке,аудитория,t:hum;r:concr
Детям,агенс,t:hum;r:concr
Детям,аудитория,t:hum;r:concr
никогда,аспект,der:advpro;r:neg;t:time
поначалу,аспект,der:s;t:time
людей,агенс,t:hum;r:concr
людей,аудитория,t:hum;r:concr
тут,адресат,t:place;r:dem
зимовщиков,агенс,der:v;t:hum;r:concr;d:nag
зимовщиков,аудитория,der:v;t:hum;r:concr;d:nag
Нянечек,агенс,t:hum;r:concr;der:s;d:dim
Нянечек,аудитория,t:hum;r:concr;der:s;d:dim
везде,адресат,t:place;r:spec
тут,адресат,t:place;r:dem
Палата,агенс,r:concr;t:org
Палата,адресат,r:concr;t:org
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
Марте,агенс,t:hum;r:propn;t:persn
Марте,адресат,t:hum;r:propn;t:persn
Марте,аудитория,t:hum;r:propn;t:persn
Владимировне,агенс,t:hum;t:patrn;r:propn;der:s
Владимировне,аудитория,t:hum;t:patrn;r:propn;der:s
больных,агенс,t:hum;d:fem;r:concr;der:a;der:subst
больных,аудитория,t:hum;d:fem;r:concr;der:a;der:subst
ПОКА,аспект,t:time
преподаватели,агенс,der:v;t:hum;r:concr;d:nag;t:prof
преподаватели,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
историка,агенс,t:hum;r:concr;der:s;t:prof
историка,аудитория,t:hum;r:concr;der:s;t:prof
пока,аспект,t:time
руководительницой,агенс,t:hum;d:fem;r:concr;der:s
руководительницой,аудитория,t:hum;d:fem;r:concr;der:s
учительница,агенс,t:hum;d:fem;r:concr;der:s
учительница,аудитория,t:hum;d:fem;r:concr;der:s
Директрисса,агенс,t:hum;d:fem;r:concr;der:s
Директрисса,аудитория,t:hum;d:fem;r:concr;der:s
дама,агенс,t:hum;r:concr
дама,аудитория,t:hum;r:concr
Мауси,агенс,t:hum;r:propn
Мауси,аудитория,t:hum;r:propn
Рекс,агенс,t:hum;r:propn;t:persn
Рекс,адресат,t:hum;r:propn;t:persn
Рекс,аудитория,t:hum;r:propn;t:persn
москвичей,агенс,t:hum;r:concr;der:s
москвичей,аудитория,t:hum;r:concr;der:s
Трехдневные,аспект,der:comp;r:rel;t:time
мэр,агенс,t:hum;r:concr
мэр,аудитория,t:hum;r:concr
людям,агенс,t:hum;r:concr
людям,аудитория,t:hum;r:concr
москвичей,агенс,t:hum;r:concr;der:s
москвичей,аудитория,t:hum;r:concr;der:s
социологов,агенс,der:comp;t:hum;r:concr;t:prof
социологов,аудитория,der:comp;t:hum;r:concr;t:prof
центральной,адресат,t:place;dt:space;r:rel;der:s
тогда,аспект,t:time;r:dem
времена,аспект,r:abstr;t:param;t:time
сезон,аспект,r:abstr;pt:part;t:time
москвич,агенс,t:hum;r:concr;der:s
москвич,аудитория,t:hum;r:concr;der:s
мае,агенс,t:pers;t:famn;t:time:month;r:abstr;r:propn;t:hum
мае,аудитория,t:pers;t:famn;t:time:month;r:abstr;r:propn;t:hum
время,аспект,r:abstr;t:param;t:time
недругом,агенс,pt:ind;sc:hum;pt:aggr;der:s;t:hum;r:concr
недругом,аудитория,pt:ind;sc:hum;pt:aggr;der:s;t:hum;r:concr
партнёров,агенс,t:hum;r:concr
партнёров,аудитория,t:hum;r:concr
Йоко,агенс,t:hum;r:propn;t:persn
Йоко,адресат,t:hum;r:propn;t:persn
Йоко,аудитория,t:hum;r:propn;t:persn
когда,аспект,r:rel;t:time
розы,агенс,r:propn;t:plant;t:persn;r:concr;t:hum
розы,адресат,r:propn;t:plant;t:persn;r:concr;t:hum
розы,аудитория,r:propn;t:plant;t:persn;r:concr;t:hum
романа,агенс,t:text;r:abstr;t:inter;r:propn;t:hum;t:persn;r:concr
романа,адресат,t:text;r:abstr;t:inter;r:propn;t:hum;t:persn;r:concr
романа,аудитория,t:text;r:abstr;t:inter;r:propn;t:hum;t:persn;r:concr
Ленноном,агенс,t:hum;r:propn;t:famn
Ленноном,аудитория,t:hum;r:propn;t:famn
Йоко,агенс,t:hum;r:propn;t:persn
Йоко,адресат,t:hum;r:propn;t:persn
Йоко,аудитория,t:hum;r:propn;t:persn
нахалкой,агенс,t:hum;d:fem;r:concr;der:s;ev:neg
нахалкой,аудитория,t:hum;d:fem;r:concr;der:s;ev:neg
человека,агенс,t:hum;r:concr
человека,аудитория,t:hum;r:concr
Галина,агенс,t:hum;r:propn;t:famn;t:persn
Галина,адресат,t:hum;r:propn;t:famn;t:persn
Галина,аудитория,t:hum;r:propn;t:famn;t:persn
Алексеевна,агенс,t:hum;t:patrn;r:propn;der:s
Алексеевна,аудитория,t:hum;t:patrn;r:propn;der:s
людях,агенс,t:hum;r:concr
людях,аудитория,t:hum;r:concr
Цветном,атрибут,der:s;dt:abstr;dt:color;t:physq:color;r:qual
Сейчас,аспект,der:comp;t:time
уже,аспект,t:time
Юра,агенс,t:famn;t:persn;d:dimb;r:propn;der:s;t:hum
Юра,адресат,t:famn;t:persn;d:dimb;r:propn;der:s;t:hum
Юра,аудитория,t:famn;t:persn;d:dimb;r:propn;der:s;t:hum
Никулин,агенс,t:hum;r:propn;t:famn
Никулин,аудитория,t:hum;r:propn;t:famn
ветеранов,агенс,t:hum;r:concr
ветеранов,аудитория,t:hum;r:concr
билетёров,агенс,t:hum;r:concr;der:s
билетёров,аудитория,t:hum;r:concr;der:s
кассиров,агенс,t:hum;r:concr;der:s;t:prof
кассиров,аудитория,t:hum;r:concr;der:s;t:prof
гардеробщиков,агенс,t:hum;r:concr;der:s;t:prof
гардеробщиков,аудитория,t:hum;r:concr;der:s;t:prof
работников,агенс,der:v;t:hum;ev:posit;r:concr;d:nag
работников,аудитория,der:v;t:hum;ev:posit;r:concr;d:nag
Галину,агенс,t:hum;r:propn;t:famn;t:persn
Галину,адресат,t:hum;r:propn;t:famn;t:persn
Галину,аудитория,t:hum;r:propn;t:famn;t:persn
Алексеевну,агенс,t:hum;t:patrn;r:propn;der:s
Алексеевну,аудитория,t:hum;t:patrn;r:propn;der:s
женщину,агенс,t:hum;r:concr
женщину,аудитория,t:hum;r:concr
руководителя,агенс,der:v;t:hum;r:concr;d:nag
руководителя,аудитория,der:v;t:hum;r:concr;d:nag
всегда,аспект,r:spec;t:time
западный,адресат,t:place;dt:space;r:rel;der:s
надеждой,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
надеждой,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
надеждой,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
славянофилами,агенс,der:comp;t:hum;r:concr
славянофилами,аудитория,der:comp;t:hum;r:concr
давно,аспект,t:time
уже,аспект,t:time
революционером,агенс,t:hum;r:concr;der:s
революционером,аудитория,t:hum;r:concr;der:s
революционером,агенс,t:hum;r:concr;der:s
революционером,аудитория,t:hum;r:concr;der:s
всегда,аспект,r:spec;t:time
дни,аспект,pc:day;r:abstr;pt:part;t:time
надежда,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
надежда,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
надежда,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
будущее,аспект,der:v;der:subst;r:abstr;t:time
скоро,аспект,dt:speed:max;der:a;t:time
раньше,аспект,dt:time;ev:neg;der:a;t:time
всегда,аспект,r:spec;t:time
всегда,аспект,r:spec;t:time
никогда,аспект,der:advpro;r:neg;t:time
философом,агенс,der:comp;t:hum;r:concr;t:prof
философом,аудитория,der:comp;t:hum;r:concr;t:prof
мыслитель,агенс,der:v;t:hum;r:concr;d:nag
мыслитель,аудитория,der:v;t:hum;r:concr;d:nag
писатель,агенс,der:v;t:hum;r:concr;d:nag;t:prof
писатель,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
догматик,агенс,t:hum;r:concr;der:s
догматик,аудитория,t:hum;r:concr;der:s
скептик,агенс,t:hum;r:concr;der:s
скептик,аудитория,t:hum;r:concr;der:s
временами,аспект,r:abstr;t:param;t:time
тёмное,атрибут,t:physq:color;r:qual
церковь,агенс,sc:hum;pt:aggr;r:concr;t:org
церковь,адресат,sc:hum;pt:aggr;r:concr;t:org
личностью,агенс,t:hum;ev;r:concr;der:s;ev:nonev
личностью,аудитория,t:hum;ev;r:concr;der:s;ev:nonev
человеке,агенс,t:hum;r:concr
человеке,аудитория,t:hum;r:concr
философ,агенс,der:comp;t:hum;r:concr;t:prof
философ,аудитория,der:comp;t:hum;r:concr;t:prof
христианином,агенс,t:hum;r:concr;der:s
христианином,аудитория,t:hum;r:concr;der:s
никогда,аспект,der:advpro;r:neg;t:time
вера,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
вера,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
вера,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
новое,аспект,t:time;r:qual
личности,агенс,t:hum;ev;r:concr;der:s;ev:nonev
личности,аудитория,t:hum;ev;r:concr;der:s;ev:nonev
христианином,агенс,t:hum;r:concr;der:s
христианином,аудитория,t:hum;r:concr;der:s
ницшеанцем,агенс,d:masc;t:hum;r:concr;der:s
ницшеанцем,аудитория,d:masc;t:hum;r:concr;der:s
давно,аспект,t:time
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
пока,аспект,t:time
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
уже,аспект,t:time
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
надежде,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
надежде,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
надежде,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
предвыборная,аспект,dt:abstr;dt:action;r:rel;der:s;t:time
партии,агенс,r:concr;t:org
партии,адресат,r:concr;t:org
партия,агенс,r:concr;t:org
партия,адресат,r:concr;t:org
победительница,агенс,t:hum;d:fem;r:concr;der:s
победительница,аудитория,t:hum;d:fem;r:concr;der:s
правительство,агенс,pc:org;pt:set;t:org;der:v;t:group;sc:hum;pt:part;r:concr
правительство,адресат,pc:org;pt:set;t:org;der:v;t:group;sc:hum;pt:part;r:concr
здесь,адресат,t:place;r:dem
Владимиру,агенс,t:hum;r:propn;t:persn
Владимиру,адресат,t:hum;r:propn;t:persn
Владимиру,аудитория,t:hum;r:propn;t:persn
Путину,агенс,t:hum;r:propn;t:famn
Путину,аудитория,t:hum;r:propn;t:famn
время,аспект,r:abstr;t:param;t:time
Ольга,агенс,t:hum;r:propn;t:persn
Ольга,адресат,t:hum;r:propn;t:persn
Ольга,аудитория,t:hum;r:propn;t:persn
сразу,аспект,t:time
накануне,аспект,der:s;t:time
Сергея,агенс,t:hum;r:propn;t:persn
Сергея,адресат,t:hum;r:propn;t:persn
Сергея,аудитория,t:hum;r:propn;t:persn
Кущенко,агенс,t:hum;r:propn;t:famn
Кущенко,аудитория,t:hum;r:propn;t:famn
суперлиги,агенс,der:comp;r:concr;t:org;der:s
суперлиги,адресат,der:comp;r:concr;t:org;der:s
ЦСКА,агенс,r:propn;t:org
ЦСКА,адресат,r:propn;t:org
обывателя,агенс,t:hum;r:concr
обывателя,аудитория,t:hum;r:concr
баскетболистов,агенс,t:hum;r:concr;der:s
баскетболистов,аудитория,t:hum;r:concr;der:s
нового,аспект,t:time;r:qual
директора,агенс,t:hum;r:concr;d:nag
директора,аудитория,t:hum;r:concr;d:nag
клуба,агенс,qc:stuff;top:spher;pt:qtm;t:org;top:form;r:concr
клуба,адресат,qc:stuff;top:spher;pt:qtm;t:org;top:form;r:concr
Павла,агенс,t:hum;r:propn;t:persn
Павла,адресат,t:hum;r:propn;t:persn
Павла,аудитория,t:hum;r:propn;t:persn
Ляха,агенс,d:masc;t:famn;t:hum:etn;r:propn;t:hum;r:concr
Ляха,аудитория,d:masc;t:famn;t:hum:etn;r:propn;t:hum;r:concr
Белов,агенс,t:hum;r:propn;t:famn
Белов,аудитория,t:hum;r:propn;t:famn
летом,аспект,t:time:season;r:abstr;t:time
Белова,агенс,t:hum;r:propn;t:famn
Белова,аудитория,t:hum;r:propn;t:famn
новый,аспект,t:time;r:qual
клуба,агенс,qc:stuff;top:spher;pt:qtm;t:org;top:form;r:concr
клуба,адресат,qc:stuff;top:spher;pt:qtm;t:org;top:form;r:concr
штабу,агенс,sc:hum;t:space;t:org;pt:set;pt:part;r:concr
штабу,адресат,sc:hum;t:space;t:org;pt:set;pt:part;r:concr
время,аспект,r:abstr;t:param;t:time
Шейнюк,агенс,t:hum;r:propn;t:famn
Шейнюк,аудитория,t:hum;r:propn;t:famn
ночами,аспект,pc:day;r:abstr;pt:part;t:time
потом,аспект,t:time
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
романов,агенс,t:text;r:abstr;t:inter;r:propn;t:hum;t:persn;r:concr
романов,адресат,t:text;r:abstr;t:inter;r:propn;t:hum;t:persn;r:concr
романов,аудитория,t:text;r:abstr;t:inter;r:propn;t:hum;t:persn;r:concr
зимы,аспект,t:time:season;r:abstr;t:time
где,адресат,t:place;r:rel
времени,аспект,r:abstr;t:param;t:time
никогда,аспект,der:advpro;r:neg;t:time
Гиппиус,агенс,t:hum;r:propn;t:famn
Гиппиус,аудитория,t:hum;r:propn;t:famn
Ходасевича,агенс,t:hum;r:propn;t:famn
Ходасевича,аудитория,t:hum;r:propn;t:famn
Гиппиус,агенс,t:hum;r:propn;t:famn
Гиппиус,аудитория,t:hum;r:propn;t:famn
Георгий,агенс,t:hum;r:propn;t:persn
Георгий,адресат,t:hum;r:propn;t:persn
Георгий,аудитория,t:hum;r:propn;t:persn
Иванов,агенс,t:hum;r:propn;t:famn
Иванов,аудитория,t:hum;r:propn;t:famn
зимам,аспект,t:time:season;r:abstr;t:time
там,адресат,t:place;r:dem
одновременно,аспект,dt:time;der:a;t:time
Бердяевым,агенс,t:hum;r:propn;t:famn
Бердяевым,аудитория,t:hum;r:propn;t:famn
роман,агенс,t:text;r:abstr;t:inter;r:propn;t:hum;t:persn;r:concr
роман,адресат,t:text;r:abstr;t:inter;r:propn;t:hum;t:persn;r:concr
роман,аудитория,t:text;r:abstr;t:inter;r:propn;t:hum;t:persn;r:concr
Рим,агенс,t:hum;t:topon;r:propn;t:persn
Рим,адресат,t:hum;t:topon;r:propn;t:persn
Рим,аудитория,t:hum;t:topon;r:propn;t:persn
тогда,аспект,t:time;r:dem
Где,адресат,t:place;r:rel
Иван,агенс,t:hum;r:propn;t:persn
Иван,адресат,t:hum;r:propn;t:persn
Иван,аудитория,t:hum;r:propn;t:persn
Васильевич,агенс,t:hum;t:patrn;r:propn;der:s
Васильевич,аудитория,t:hum;t:patrn;r:propn;der:s
когда-нибудь,аспект,der:advpro;r:indet;t:time
Ивана,агенс,t:hum;r:propn;t:persn
Ивана,адресат,t:hum;r:propn;t:persn
Ивана,аудитория,t:hum;r:propn;t:persn
Васильевича,агенс,t:hum;t:patrn;r:propn;der:s
Васильевича,аудитория,t:hum;t:patrn;r:propn;der:s
Обломов,агенс,t:hum;r:propn;t:famn
Обломов,аудитория,t:hum;r:propn;t:famn
Гончарова,агенс,t:hum;r:propn;t:famn
Гончарова,аудитория,t:hum;r:propn;t:famn
Слуги,агенс,der:v;t:hum;r:concr;d:nag
Слуги,аудитория,der:v;t:hum;r:concr;d:nag
Паллада,агенс,t:hum;r:propn;t:persn
Паллада,адресат,t:hum;r:propn;t:persn
Паллада,аудитория,t:hum;r:propn;t:persn
пор,аспект,t:space;r:abstr;t:time;pc:partb;r:concr;top:hole
Чацкого,агенс,t:hum;r:propn;t:famn
Чацкого,аудитория,t:hum;r:propn;t:famn
Гончаров,агенс,t:hum;r:propn;t:famn
Гончаров,аудитория,t:hum;r:propn;t:famn
Обломова,агенс,t:hum;r:propn;t:famn
Обломова,аудитория,t:hum;r:propn;t:famn
писателей,агенс,der:v;t:hum;r:concr;d:nag;t:prof
писателей,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
Обломов,агенс,t:hum;r:propn;t:famn
Обломов,аудитория,t:hum;r:propn;t:famn
Чичиков,агенс,t:hum;r:propn;t:famn
Чичиков,аудитория,t:hum;r:propn;t:famn
Современный,аспект,r:rel;der:s;t:time
Чичиков,агенс,t:hum;r:propn;t:famn
Чичиков,аудитория,t:hum;r:propn;t:famn
давно,аспект,t:time
уже,аспект,t:time
Селифаном,агенс,t:hum;r:propn;t:persn
Селифаном,адресат,t:hum;r:propn;t:persn
Селифаном,аудитория,t:hum;r:propn;t:persn
членом,агенс,t:hum;r:concr
членом,аудитория,t:hum;r:concr
Горбунов,агенс,t:hum;r:propn;t:famn
Горбунов,аудитория,t:hum;r:propn;t:famn
Обломов,агенс,t:hum;r:propn;t:famn
Обломов,аудитория,t:hum;r:propn;t:famn
уже,аспект,t:time
Захаром,агенс,t:hum;r:propn;t:persn
Захаром,адресат,t:hum;r:propn;t:persn
Захаром,аудитория,t:hum;r:propn;t:persn
почина,агенс,t:hum;pt:phase;r:propn;r:abstr;t:famn
почина,аудитория,t:hum;pt:phase;r:propn;r:abstr;t:famn
иностранцам,агенс,der:comp;t:hum;r:concr
иностранцам,аудитория,der:comp;t:hum;r:concr
Лейтенант,агенс,t:hum;t:armpos;r:concr
Лейтенант,аудитория,t:hum;t:armpos;r:concr
Мигунов,агенс,t:hum;r:propn;t:famn
Мигунов,аудитория,t:hum;r:propn;t:famn
зимой,аспект,t:time:season;r:abstr;t:time
противнику,агенс,t:hum;der:pr;r:concr;t:org;d:nag
противнику,адресат,t:hum;der:pr;r:concr;t:org;d:nag
противнику,аудитория,t:hum;der:pr;r:concr;t:org;d:nag
артиллерист,агенс,t:hum;r:concr;der:s;t:prof
артиллерист,аудитория,t:hum;r:concr;der:s;t:prof
Ревизор,агенс,t:hum;r:concr;d:nag;der:s
Ревизор,аудитория,t:hum;r:concr;d:nag;der:s
Сторон,агенс,t:hum;r:concr;der:s
Сторон,аудитория,t:hum;r:concr;der:s
Мейерхольда,агенс,t:hum;r:propn;t:famn
Мейерхольда,аудитория,t:hum;r:propn;t:famn
Ревизором,агенс,t:hum;r:concr;d:nag;der:s
Ревизором,аудитория,t:hum;r:concr;d:nag;der:s
художника,агенс,t:hum;r:concr;t:prof
художника,аудитория,t:hum;r:concr;t:prof
Мейерхольда,агенс,t:hum;r:propn;t:famn
Мейерхольда,аудитория,t:hum;r:propn;t:famn
уже,аспект,t:time
СТРОИТЕЛЬ,агенс,der:v;t:hum;r:concr;d:nag;t:prof
СТРОИТЕЛЬ,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
ЭМИГРАНТОМ,агенс,der:v;t:hum;r:concr;d:nag
ЭМИГРАНТОМ,аудитория,der:v;t:hum;r:concr;d:nag
начальника,агенс,t:hum;r:concr
начальника,аудитория,t:hum;r:concr
Аркадия,агенс,t:hum;r:propn;t:persn
Аркадия,адресат,t:hum;r:propn;t:persn
Аркадия,аудитория,t:hum;r:propn;t:persn
время,аспект,r:abstr;t:param;t:time
бригады,агенс,pt:set;sc:hum;r:concr;t:org;pt:part
бригады,адресат,pt:set;sc:hum;r:concr;t:org;pt:part
строителей,агенс,der:v;t:hum;r:concr;d:nag;t:prof
строителей,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
Маегова,агенс,t:hum;r:propn;t:famn
Маегова,аудитория,t:hum;r:propn;t:famn
Морозова,агенс,t:hum;r:propn;t:famn
Морозова,аудитория,t:hum;r:propn;t:famn
Дорожник,агенс,t:hum;r:concr;der:s;t:prof
Дорожник,аудитория,t:hum;r:concr;der:s;t:prof
Октябрьскому,аспект,dt:abstr;dt:time:month;r:rel;der:s;t:time
сейчас,аспект,der:comp;t:time
Отделочники,агенс,der:s;t:hum;r:concr;d:nag;t:prof
Отделочники,аудитория,der:s;t:hum;r:concr;d:nag;t:prof
Стефановский,агенс,t:hum;r:propn;t:famn
Стефановский,аудитория,t:hum;r:propn;t:famn
Славы,агенс,ev:posit;r:abstr;t:persn;d:dimb;r:propn;der:s;t:hum
Славы,адресат,ev:posit;r:abstr;t:persn;d:dimb;r:propn;der:s;t:hum
Славы,аудитория,ev:posit;r:abstr;t:persn;d:dimb;r:propn;der:s;t:hum
Сейчас,аспект,der:comp;t:time
Кутузова,агенс,t:hum;r:propn;t:famn
Кутузова,аудитория,t:hum;r:propn;t:famn
центральной,адресат,t:place;dt:space;r:rel;der:s
прошлые,аспект,der:v;r:rel;dt:move;t:time
Морозова,агенс,t:hum;r:propn;t:famn
Морозова,аудитория,t:hum;r:propn;t:famn
недавно,аспект,dt:time;der:adv;t:time
новом,аспект,t:time;r:qual
Рабочие,агенс,der:subst;t:famn;der:a;r:propn;t:prof;t:hum;r:concr
Рабочие,аудитория,der:subst;t:famn;der:a;r:propn;t:prof;t:hum;r:concr
дней,аспект,pc:day;r:abstr;pt:part;t:time
день,аспект,pc:day;r:abstr;pt:part;t:time
утра,аспект,pc:day;r:abstr;pt:part;t:time
специалист,агенс,t:hum;r:concr;der:s;t:prof
специалист,аудитория,t:hum;r:concr;der:s;t:prof
бригаде,агенс,pt:set;sc:hum;r:concr;t:org;pt:part
бригаде,адресат,pt:set;sc:hum;r:concr;t:org;pt:part
каменщиком,агенс,t:hum;r:concr;der:s;t:prof
каменщиком,аудитория,t:hum;r:concr;der:s;t:prof
плотником,агенс,t:hum;r:concr;t:prof
плотником,аудитория,t:hum;r:concr;t:prof
облицовщиком,агенс,der:v;t:hum;r:concr;d:nag;t:prof
облицовщиком,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
штукатуром,агенс,t:hum;r:concr;t:prof
штукатуром,аудитория,t:hum;r:concr;t:prof
Подобная,атрибут,t:qual
бригада,агенс,pt:set;sc:hum;r:concr;t:org;pt:part
бригада,адресат,pt:set;sc:hum;r:concr;t:org;pt:part
повара,агенс,der:v;t:hum;r:concr;t:prof
повара,аудитория,der:v;t:hum;r:concr;t:prof
медбрата,агенс,der:comp;t:hum;r:concr
медбрата,аудитория,der:comp;t:hum;r:concr
парикмахера,агенс,t:hum;r:concr
парикмахера,аудитория,t:hum;r:concr
специалистов,агенс,t:hum;r:concr;der:s;t:prof
специалистов,аудитория,t:hum;r:concr;der:s;t:prof
Армении,агенс,t:hum;t:topon;r:propn;t:persn
Армении,адресат,t:hum;t:topon;r:propn;t:persn
