ConstrIndex	ExIndex	Place	PhraseGen	WordDep	Form	Role	Rank	Sem	Rea	ConstrExId	ItemExIndex	KeyLexemes
11538	40991	3	алкогольного отдохновения	отдохновения	Sgen	содержание мысли	Периферия	абстрактный	стандартный	3315	91975	алкать
11538	40994	1	кумир	кумир	Snom	субъект психологического состояния	Субъект	лицо	стандартный	3318	11086	алкать
11538	40994	2	N/A	алчет	алкать	-	Предикат	-	-	3318	11087	алкать
11538	40994	3	сказки	сказки	Sgen	содержание мысли	Объект	-	стандартный	3318	11088	алкать
11538	40995	1				субъект психологического состояния	Не выражен		субстантивация	3319	11089	алкать
11538	40995	2	N/A	алчущие	алкать	-	Атрибут	-	-	3319	11090	алкать
11538	40995	3	правды	правды	Sgen	содержание мысли	Несобственный	-	сочинение	3319	11091	алкать
11538	40997	1				субъект психологического состояния	Не выражен		субстантивация	3320	11095	алкать
11538	40997	2	N/A	алчущим	алкать	-	Предикат	-		3320	11096	алкать
11538	40997	3	пенного напитка	напитка	Sgen	содержание мысли	Объект	-	стандартный	3320	11097	алкать
11538	41014	1				субъект психологического состояния	Не выражен		субстантивация	3330	11118	алкать
11538	41014	2	N/A	алчущий	алкать	-	Предикат	-		3330	11119	алкать
11538	41014	3	спасения	спасения	Sgen	содержание мысли	Объект	-	стандартный	3330	11120	алкать
11538	41022	1	глупый идол	идол	Snom	субъект психологического состояния	Контролер согласования	одушевленный	активное причастие	3334	11127	алкать
11538	41022	2	N/A	алчущий	алкать	-	Атрибут	-		3334	11128	алкать
11538	41022	3	крови	крови	Sgen	содержание мысли	Объект	-	стандартный	3334	11129	алкать
11538	41023	1				субъект психологического состояния	Не выражен		субстантивация	3335	11130	алкать
11538	41023	2	N/A	алчущий	алкать	-	Атрибут	-		3335	11131	алкать
11538	41023	3	информации	информации	Sgen	содержание мысли	Объект	-	стандартный	3335	11132	алкать
11538	41029	1	какой-нибудь / даме	даме	Sdat	субъект психологического состояния 	Контролер согласования	лицо	активное причастие	3337	11135	алкать
11538	41029	2	N/A	алчущей	алкать	-	Атрибут	-		3337	11136	алкать
11538	41029	3	любви	любви	Sgen	содержание мысли	Объект	-	стандартный	3337	11137	алкать
11538	41031	1	всех / гномов	гномов	Sgen	субъект психологического состояния	Контролер согласования	сверхестественное существо	активное причастие	3338	11138	алкать
11538	41031	2	N/A	алкавших	алкать	-	Атрибут	-		3338	11139	алкать
11538	41031	3	меды Поэзии	меды	Sacc	содержание мысли	Объект	-	стандартный	3338	11140	алкать
11538	41032	1	только оторвавшиеся из-под материнского присмотра малолетки	малолетки	Snom	субъект психологического состояния	Контролер согласования	лицо	активное причастие	3339	11141	алкать
11538	41032	2	N/A	алчущие	алкать	-	Атрибут	-		3339	11142	алкать
11538	41032	3	многого знания и сомнительных приключений	знания	Sgen	содержание мысли	Объект	ментальная сфера	стандартный	3339	11143	алкать
11538	41040	1	человек	человек	Snom	субъект психологического состояния 	Контролер согласования	лицо	активное причастие	3344	17784	алкать
11538	41040	2	N/A	алчущий	алкать	-	Атрибут	-		3344	17785	алкать
11538	41040	3	подробностей из жизни знаменитостей	подробностей	Sgen	содержание мысли	Объект	абстрактный	стандартный	3344	17786	алкать
11577	40977	1	зверь	зверь	Snom	субъект психологического состояния	Контролер согласования	животное	активное причастие	3285	17787	алкать,желать
11577	40977	2	N/A	алчущий	алкать	-	Атрибут	-		3285	17788	алкать,желать
11577	40981	1	настоящего сектанта по духу своему	секстанта	Sacc	субъект психологического состояния	Контролер согласования	лицо	активное причастие	3287	11163	алкать,желать
11577	40981	2	N/A	алчущего	алкать	-	Атрибут	-		3287	11164	алкать,желать
11577	40982	1	клиентуры	клиентуры	Sgen	субъект психологического состояния	Контролер согласования	группа лиц	активное причастие	3288	17789	алкать,желать
11577	40982	2	N/A	алкающей	алкать	-	Атрибут	-		3288	17790	алкать,желать
11577	40984	1	всех	всех	SPROacc	субъект психологического состояния	Атрибут	лицо	субстантивация	3310	17791	алкать,желать
11577	40984	2	N/A	алчущих	алкать	-	Атрибут	-	-	3310	17792	алкать,желать
11577	40993	1	рты	рты	Snom	метафорический субъект психологического состояния	Контролер согласования	часть тела	активное причастие	3317	11084	алкать,желать
11577	40993	2	N/A	алчущие	алкать	-	Атрибут	-		3317	11085	алкать,желать
11577	40998	1	человечества	человечества	Sgen	субъект психологического состояния	Контролер согласования	группа лиц	активное причастие	3321	11098	алкать,желать
11577	40998	2	N/A	алчущего	алкать	-	Атрибут	-		3321	11099	алкать,желать
11577	41005	1				субъект психологического состояния	Не выражен		субстантивация	3324	11104	алкать,желать
11577	41005	2	N/A	алчущие	алкать	-	Предикат	-		3324	11105	алкать,желать
11577	41006	1				субъект психологического состояния	Не выражен		субстантивация	3325	11106	алкать,желать
11577	41006	2	N/A	алчущие	алкать	-	Атрибут	-	-	3325	11107	алкать,желать
11577	41007	1	всякого	всякого	APROgen	субъект психологического состояния	Атрибут	лицо	субстантивация	3326	11110	алкать,желать
11577	41007	2	N/A	алчущего	алкать	-	Предикат	-		3326	11111	алкать,желать
11577	41018	1	дачников	дачников	Sgen	субъект психологического состояния	Контролер согласования	лицо	активное причастие	3332	11123	алкать,желать
11577	41018	2	N/A	алчущих	алкать	-	Атрибут	-		3332	11124	алкать,желать
11577	41021	1	этой огромной / волной	волной	Sins	субъект психологического состояния	Контролер согласования	метафора	активное причастие	3333	11125	алкать,желать
11577	41021	2	N/A	алчущей	алкать	-	Атрибут	-		3333	11126	алкать,желать
11577	41024	1	безденежных / агэшников	агэшников	Sgen	субъект физиологического состояния	Контролер согласования	лицо	активное причастие	3336	11133	алкать,желать
11577	41024	2	N/A	алчущих	алкать	-	Атрибут	-		3336	11134	алкать,желать
11577	41036	1	все / обитатели животного царства	обитатели	Snom	субъект психологического состояния	Контролер согласования	животное	активное причастие	3342	11148	алкать,желать
11577	41036	2	N/A	алчущие	алкать	-	Атрибут	-		3342	11149	алкать,желать
11577	41037	1	людьми	людьми	Sins	субъект психологического состояния	Контролер согласования	лицо	активное причастие	3343	11152	алкать,желать
11577	41037	2	N/A	алчущими	алкать	-	Атрибут	-		3343	11153	алкать,желать
11577	36564	1	Нищие духом	Нищие	Snom	субъект психологического состояния	Несобственный	лицо	преконтекст	3557	11459	алкать,желать
11577	36564	2	N/A	алчут	алкать	-	Предикат	-		3557	11460	алкать,желать
11577	36566	1	Я	Я	SPROnom	субъект психологического состояния	Субъект	лицо	стандартный	3558	11461	алкать,желать
11577	36566	2	N/A	алкал	алкать	-	Предикат	-		3558	11462	алкать,желать
11577	40980	1	Я	Я	SPROnom	субъект психологического состояния	Субъект	лицо	стандартный	3559	11463	алкать,желать
11577	40980	2	N/A	алкал	алкать	-	Предикат	-		3559	11464	алкать,желать
11577	40987	1				субъект психологического состояния	Не выражен		инфинитив	3560	17842	алкать,желать
11577	40987	2	N/A	алкать	алкать	-	Предикат	-		3560	17843	алкать,желать
11577	41009	1	Приходящий ко Мне	Приходящий	Snom	субъект психологического состояния	Несобственный	лицо	контроль	3561	17844	алкать,желать
11577	41009	2	N/A	будет алкать	алкать	-	Предикат	-		3561	17845	алкать,желать
11577	41013	1	малые народы	народы	Snom	субъект психологического состояния	Субъект	группа лиц	стандартный	3562	11469	алкать,желать
11577	41013	2	N/A	алчут	алкать	-	Предикат	-		3562	11470	алкать,желать
11577	41019	1				субъект психологического состояния	Не выражен		субстантивация	3563	11471	алкать,желать
11577	41019	2	N/A	алчущего	алкать	-	Предикат	-		3563	11472	алкать,желать
11577	41020	1	приходящий ко Мне	приходящий	Snom	субъект психологического состояния	Несобственный	лицо	контроль	3564	11473	алкать,желать
11577	41020	2	N/A	будет алкать	алкать	-	Предикат	-		3564	11474	алкать,желать
11577	41025	1				субъект психологического состояния	Не выражен		субстантивация	3565	11475	алкать,желать
11577	41025	2	N/A	алчущих	алкать	-	Предикат	-		3565	11476	алкать,желать
11577	41026	1				субъект психологического состояния	Не выражен		субстантивация	3566	11477	алкать,желать
11577	41026	2	N/A	алкавших	алкать	-	Предикат	-		3566	11478	алкать,желать
11577	41030	1	Историограф	Историограф	Snom	субъект психологического состояния	Субъект	лицо	стандартный	3567	17846	алкать,желать
11577	41030	2	N/A	алкал	алкать	-	Предикат	-		3567	17847	алкать,желать
11577	41038	1				субъект психологического состояния	Не выражен		субстантивация	3568	17848	алкать,желать
11577	41038	2	N/A	Алчущие	алкать	-	Предикат	-		3568	17849	алкать,желать
11539	36562	1	взоры	взоры	Sacc	признак	Контролер согласования	восприятие	активное причастие	2373	11157	алкать,желать,пожелать
11539	36562	2	N/A	алчущие	алкать	-	Атрибут	-		2373	11158	алкать,желать,пожелать
11539	40986	1	духа	духа	Sgen	признак	Контролер согласования	абстрактный	активное причастие	3312	11169	алкать,желать,пожелать
11539	40986	2	N/A	алчущего	алкать	-	Предикат	-		3312	11170	алкать,желать,пожелать
11539	40992	1	взглядом	взглядом	Sins	признак	Контролер согласования	восприятие	активное причастие	3316	11082	алкать,желать,пожелать
11539	40992	2	N/A	алчущим	алкать	-	Атрибут	-		3316	11083	алкать,желать,пожелать
11539	41000	1	организм	организм	Sacc	признак	Контролер согласования	часть тела	активное причастие	3322	11100	алкать,желать,пожелать
11539	41000	2	N/A	алчущий	алкать	-	Атрибут	-		3322	11101	алкать,желать,пожелать
11539	41002	1	взоров	взоров	Sgen	признак	Контролер согласования	восприятие	активное причастие	3323	17782	алкать,желать,пожелать
11539	41002	2	N/A	алчущих	алкать	-	Атрибут	-		3323	17783	алкать,желать,пожелать
11539	41008	1	душа	душа	Snom	часть субъекта психологического состояния	Контролер согласования	орган	активное причастие	3327	11112	алкать,желать,пожелать
11539	41008	2	N/A	алчущая	алкать	-	Атрибут	-		3327	11113	алкать,желать,пожелать
11539	41010	1	глазами	глазами	Sins	часть субъекта психологического состояния	Контролер согласования	часть тела	активное причастие	3328	11114	алкать,желать,пожелать
11539	41010	2	N/A	алкающими	алкать	-	Атрибут	-		3328	11115	алкать,желать,пожелать
11539	41011	1	Дух мой	дух	Snom	признак	Контролер согласования	абстрактный	активное причастие	3329	11116	алкать,желать,пожелать
11539	41011	2	N/A	алчущий	алкать	-	Атрибут	-		3329	11117	алкать,желать,пожелать
11539	41016	1	его / пасть	пасть	Sacc	часть субъекта психологического состояния	Контролер согласования	часть тела	активное причастие	3331	11121	алкать,желать,пожелать
11539	41016	2	N/A	алчущую	алкать	-	Атрибут	-		3331	11122	алкать,желать,пожелать
11539	41033	1	свой / клюв	клюв	Sacc	признак	Контролер согласования	часть тела	активное причастие	3340	11144	алкать,желать,пожелать
11539	41033	2	N/A	алчущий	алкать	-	Атрибут	-		3340	11145	алкать,желать,пожелать
11539	41035	1	пессимистическое сознание, голодное / и ненасытное	сознание	Sacc	признак	Контролер согласования	абстрактный	активное причастие	3341	11146	алкать,желать,пожелать
11539	41035	2	N/A	алчущее	алкать	-	Атрибут	-		3341	11147	алкать,желать,пожелать
11539	57014	1	я	я	SPROnom	признак	Субъект	лицо	стандартный	11566	36303	алкать,желать,пожелать
11539	57014	2	N/A	желала	алкать	-	Предикат	-		11566	36304	алкать,желать,пожелать
15317	65094	1	вы	вы	SPROnom		Субъект		стандартный	66565	10031533	Америка,открывать,открыть
15317	65094	2	N/A	открыли	открыть		Предикат			66565	10031534	Америка,открывать,открыть
15317	65094	3	N/A	Америку	Америку		Объект			66565	10031535	Америка,открывать,открыть
1001	36567	1			-	субъект поведения	Не выражен		преконтекст	6638	21754	аплодировать
1001	36567	2	N/A	аплодирует	аплодировать	-	Предикат	-	-	6638	21755	аплодировать
1001	36568	1	седой человек из кино	человек	Snom	субъект поведения	Субъект	лицо	стандартный	6639	21756	аплодировать
1001	36568	2	N/A	аплодирует	аплодировать	-	Предикат	-	-	6639	21757	аплодировать
1001	36569	1	молодой человек	человек	Snom	субъект поведения	Несобственный	лицо	деепричастие	6640	21758	аплодировать
1001	36569	2	N/A	аплодируя	аплодировать	-	Предикат	-	-	6640	21759	аплодировать
1001	36571	1	она	она	SPROnom	субъект поведения	Субъект	лицо	стандартный	6642	21765	аплодировать
1001	36571	2	N/A	аплодирует	аплодировать	-	Предикат	-	-	6642	21766	аплодировать
1001	36573	1	Все	Все	SPROnom	субъект поведения	Субъект	лицо	стандартный	6644	21772	аплодировать
1001	36573	2	N/A	аплодировали	аплодировать	-	Предикат	-	-	6644	21773	аплодировать
1001	36574	1	Нормальные люди	люди	Snom	субъект поведения	Субъект	лицо	стандартный	6645	21774	аплодировать
1001	36574	2	N/A	аплодируют	аплодировать	-	Предикат	-	-	6645	21775	аплодировать
1001	36576	1			-	субъект поведения	Не выражен		инфинитив	6646	21776	аплодировать
1001	36576	2	N/A	аплодировать	аплодировать	-	Предикат	-	-	6646	21777	аплодировать
1001	36580	1	Люди	Люди	Snom	субъект поведения	Несобственный	лицо	сочинение	6648	21781	аплодировать
1001	36580	2	N/A	аплодировали	аплодировать	-	Предикат	-	-	6648	21782	аплодировать
1001	36581	1	Публика	Публика	Snom	субъект поведения	Субъект	группа лиц	стандартный	6649	21783	аплодировать
1001	36581	2	N/A	аплодирует	аплодировать	-	Предикат	-	-	6649	21784	аплодировать
1001	36582	1			-	субъект поведения	Не выражен		неопределенно-личная конструкция	6650	21785	аплодировать
1001	36582	2	N/A	аплодировали	аплодировать	-	Предикат	-	-	6650	21786	аплодировать
1001	36586	1	люди	люди	Snom	субъект поведения	Несобственный	лицо	сочинение	6656	21812	аплодировать
1001	36586	2	N/A	аплодируют	аплодировать	-	Предикат	-	-	6656	21813	аплодировать
1001	36588	1	западная публика	публика	Snom	субъект поведения	Субъект	группа лиц	стандартный	6659	21820	аплодировать
1001	36588	2	N/A	аплодирует	аплодировать	-	Предикат	-	-	6659	21821	аплодировать
1001	36589	1	Они	Они	SPROnom	субъект поведения	Несобственный	лицо	сочинение	6660	21822	аплодировать
1001	36589	2	N/A	аплодировали	аплодировать	-	Предикат	-	-	6660	21823	аплодировать
1001	36591	1	Обычные залы	залы	Snom	субъект поведения	Субъект	помещение	стандартный	6663	21824	аплодировать
1001	36591	2	N/A	будут аплодировать	аплодировать	-	Предикат	-	-	6663	21825	аплодировать
1001	36593	1	публике	публике	Sdat	субъект поведения	Несобственный	группа лиц	контроль	6665	21831	аплодировать
1001	36593	2	N/A	аплодировать	аплодировать	-	Предикат	-	-	6665	21832	аплодировать
1001	42224	1			-	субъект поведения	Не выражен		неопределенно-личная конструкция	6666	21833	аплодировать
1001	42224	2	N/A	аплодируют	аплодировать	-	Предикат	-	-	6666	21834	аплодировать
1001	42227	1	каждого	каждого	APROacc	субъект поведения	Несобственный	лицо	контроль имплицитный	6670	21844	аплодировать
1001	42227	2	N/A	аплодировать	аплодировать	-	Предикат	-	-	6670	21845	аплодировать
1001	42229	1	Все	Все	SPROnom	субъект поведения	Субъект	лицо	стандартный	6673	21851	аплодировать
1001	42229	2	N/A	аплодируют	аплодировать	-	Предикат	-	-	6673	21852	аплодировать
1001	42231	1	Хозяева	Хозяева	Snom	субъект поведения	Субъект	лицо	стандартный	6674	21853	аплодировать
1001	42231	2	N/A	аплодировали	аплодировать	-	Предикат	-	-	6674	21854	аплодировать
1001	42234	1			-	субъект поведения	Не выражен		неопределенно-личная конструкция	6678	21867	аплодировать
1001	42234	2	N/A	аплодировали	аплодировать	-	Предикат	-	-	6678	21868	аплодировать
1001	42236	1			-	субъект поведения	Не выражен		контроль имплицитный	6680	21872	аплодировать
1001	42236	2	N/A	аплодировать	аплодировать	-	Предикат	-	-	6680	21873	аплодировать
1001	42239	1	я	я	SPROnom	субъект поведения	Субъект	лицо	стандартный	6683	21886	аплодировать
1001	42239	2	N/A	аплодирую	аплодировать	-	Предикат	-	-	6683	21887	аплодировать
1001	42241	1			-	субъект поведения	Не выражен		неопределенно-личная конструкция	6688	21893	аплодировать
1001	42241	2	N/A	аплодировали	аплодировать	-	Предикат	-	-	6688	21894	аплодировать
1001	42242	1			-	субъект поведения	Не выражен		контроль имплицитный	6689	21895	аплодировать
1001	42242	2	N/A	аплодировать	аплодировать	-	Предикат	-	-	6689	21896	аплодировать
1001	42246	1			-	субъект поведения	Не выражен		преконтекст	6710	21988	аплодировать
1001	42246	2	N/A	аплодирует	аплодировать	-	Предикат	-	-	6710	21989	аплодировать
1001	42247	1	они	они	SPROnom	субъект поведения	Несобственный	лицо	сочинение	6711	21990	аплодировать
1001	42247	2	N/A	аплодируют	аплодировать	-	Предикат	-	-	6711	21991	аплодировать
1001	42251	1	публика	публика	Snom	субъект поведения	Контролер согласования	группа лиц	активное причастие	6715	22100	аплодировать
1001	42251	2	N/A	аплодирующая	аплодировать	-	Атрибут	-		6715	22101	аплодировать
1001	42252	1	Герои Вампилова	Герои	Snom	субъект поведения	Несобственный	лицо	сочинение	6716	22102	аплодировать
1001	42252	2	N/A	аплодируют	аплодировать	-	Предикат	-	-	6716	22103	аплодировать
1001	42254	1	Разгоряченные закусками зрители и журналисты	зрители	Snom	субъект поведения	Субъект	лицо	стандартный	6718	22107	аплодировать
1001	42254	2	N/A	аплодировали	аплодировать	-	Предикат	-	-	6718	22108	аплодировать
1001	42255	1	сеньоры	сеньоры	Snom	субъект поведения	Несобственный	лицо	деепричастие	6719	22109	аплодировать
1001	42255	2	N/A	аплодируя	аплодировать	-	Предикат	-	-	6719	22110	аплодировать
1001	42257	1	Они	Они	SPROnom	субъект поведения	Несобственный	лицо	сочинение	6721	22114	аплодировать
1001	42257	2	N/A	аплодируют	аплодировать	-	Предикат	-	-	6721	22115	аплодировать
1001	42260	1	сидящие по соседству с нами британцы, явно болеющие за французскую команду	британцы	Snom	субъект поведения	Несобственный	лицо	сочинение	6724	22122	аплодировать
1001	42260	2	N/A	аплодируют	аплодировать	-	Предикат	-	-	6724	22123	аплодировать
1001	42261	1			-	субъект поведения	Не выражен		преконтекст	6725	22124	аплодировать
1001	42261	2	N/A	аплодировала	аплодировать	-	Предикат	-	-	6725	22125	аплодировать
1001	42262	1	публика	публика	Snom	субъект поведения	Несобственный	группа лиц	сочинение	6726	22126	аплодировать
1001	42262	2	N/A	аплодирует	аплодировать	-	Предикат	-	-	6726	22127	аплодировать
1001	42263	1			-	субъект поведения	Не выражен		неопределенно-личная конструкция	6727	22128	аплодировать
1001	42263	2	N/A	аплодируют	аплодировать	-	Предикат	-	-	6727	22129	аплодировать
1001	42265	1	публика	публика	Snom	субъект поведения	Субъект	группа лиц	стандартный	6729	22133	аплодировать
1001	42265	2	N/A	аплодировала	аплодировать	-	Предикат	-	-	6729	22134	аплодировать
1001	42266	1	весь президиум	президиум	Snom	субъект поведения	Несобственный	группа лиц	сочинение	6730	22135	аплодировать
1001	42266	2	N/A	аплодирует	аплодировать	-	Предикат	-	-	6730	22136	аплодировать
1001	42269	1	эти люди	люди	Snom	субъект поведения	Несобственный	лицо	контроль	6732	22140	аплодировать
1001	42269	2	N/A	аплодировать	аплодировать	-	Предикат	-	-	6732	22141	аплодировать
1001	42272	1	зал	зал	Snom	субъект поведения	Субъект	помещение	стандартный	6734	22145	аплодировать
1001	42272	2	N/A	аплодировал	аплодировать	-	Предикат	-	-	6734	22146	аплодировать
1001	42273	1			-	субъект поведения	Не выражен		неопределенно-личная конструкция	6735	22147	аплодировать
1001	42273	2	N/A	Аплодировали	аплодировать	-	Предикат	-	-	6735	22148	аплодировать
1001	42275	1	Тургенев	Тургенев	Snom	субъект поведения	Субъект	лицо	стандартный	6737	22152	аплодировать
1001	42275	2	N/A	аплодировал	аплодировать	-	Предикат	-	-	6737	22153	аплодировать
1001	42276	1	Люди	Люди	Snom	субъект поведения	Несобственный	лицо	сочинение	6738	22154	аплодировать
1001	42276	2	N/A	аплодировали	аплодировать	-	Предикат	-	-	6738	22155	аплодировать
1001	42279	1			-	субъект поведения	Не выражен		неопределенно-личная конструкция	6740	22159	аплодировать
1001	42279	2	N/A	аплодировали	аплодировать	-	Предикат	-	-	6740	22160	аплодировать
1001	42281	1	все	все	SPROnom	субъект поведения	Субъект	лицо	стандартный	6742	22166	аплодировать
1001	42281	2	N/A	будут аплодировать	аплодировать	-	Предикат	-	-	6742	22167	аплодировать
1001	42282	1	Репин	Репин	Snom	субъект поведения	Субъект	лицо	стандартный	6743	22168	аплодировать
1001	42282	2	N/A	аплодировал	аплодировать	-	Предикат	-	-	6743	22169	аплодировать
